데이터기준일,압축천연가스(CNG),경유,기타연료,수소,엘피지,전기,하이브리드(LPG_전기),하이브리드(경유_전기),하이브리드(휘발유_전기),휘발유,휘발유(무연),휘발유(유연)
2018-01-31,399,37099,116,,9487,48,64,,1565,21464,28391,45
2018-02-28,393,37025,119,,9442,46,61,,1604,21397,28397,44
2018-03-31,393,36950,120,,9333,65,61,,1639,21340,28292,44
2018-04-30,399,36975,121,,9309,68,61,,1670,21318,28293,45
2018-05-31,399,37053,127,,9292,74,61,,1723,21290,28258,46
2018-06-30,399,37377,128,,9236,84,58,,1756,21238,28274,45
2018-07-31,398,37674,125,,9173,91,59,,1801,21224,28256,44
2018-08-31,397,37964,134,,9235,96,58,,1835,21175,28289,44
2018-09-30,397,38345,133,,9217,103,56,,1851,21244,28304,44
2018-10-31,396,38565,134,,9147,113,59,,1893,21268,28413,41
2018-11-30,398,38787,135,,9094,117,62,,1944,21270,28592,40
2018-12-31,399,38885,130,,9015,123,61,,2002,21215,28684,38
2019-01-31,399,38924,134,,8959,123,58,,2045,21190,28755,38
2019-02-28,398,38909,134,1,8895,126,56,,2088,21219,28799,41
2019-03-31,72,38676,136,2,8759,137,58,,2125,21125,28870,42
2019-04-30,72,38445,137,2,8728,138,59,,2161,21072,28905,41
2019-05-31,70,38312,139,2,8696,145,62,,2192,20987,28940,42
2019-06-30,71,38239,138,2,8683,157,60,,2236,20953,28958,42
2019-07-31,71,38202,137,2,8654,167,60,1,2267,20950,29009,41
2019-08-31,69,38166,136,2,8552,166,60,1,2283,20933,29019,41
2019-09-30,68,38093,132,6,8517,168,60,1,2301,20949,29064,40
2019-10-31,68,37939,133,9,8453,165,59,2,2324,20906,29056,41
2019-11-30,67,38027,132,13,8402,182,60,2,2353,20877,29101,39
2019-12-31,194,38010,133,15,8352,191,59,3,2431,20787,29087,37
2020-01-31,193,37997,131,15,8317,197,63,3,2431,20756,29166,37
2020-02-28,196,37829,131,13,8280,228,58,2,2441,20724,29151,36
2020-03-31,196,37649,129,13,8230,244,58,3,2456,20640,29117,37
2020-04-30,197,37548,132,15,8196,250,57,3,2512,20666,29152,37
2020-05-31,199,37477,135,18,8178,259,54,3,2565,20659,29314,36
2020-06-30,196,37475,138,18,8122,271,55,18,2622,20657,29545,37
2020-07-31,193,37389,144,18,8053,281,55,22,2672,20591,29589,35
2020-08-31,192,37277,141,20,8008,281,53,23,2706,20550,29650,33
2020-09-30,190,37228,141,20,7963,297,53,34,2770,20502,29662,34
2020-10-31,192,37192,137,25,7951,298,53,38,2837,20553,29694,33
2020-11-30,191,37122,143,30,7985,299,55,42,2925,20577,29751,33
2020-12-31,191,36890,146,30,7922,304,53,47,3004,20568,29694,34
2021-01-31,191,36796,147,30,7867,300,53,49,3070,20504,29714,35
2021-02-28,191,36722,147,29,7862,306,51,58,3102,20437,29700,33
2021-03-31,190,36647,145,29,7818,346,53,67,3166,20410,29755,32
2021-04-30,189,36556,147,33,7673,361,53,75,3241,20407,29827,32
2021-05-31,188,36438,148,34,7620,386,54,76,3328,20399,29896,33
2021-06-30,189,36388,151,35,7570,435,53,79,3396,20364,29945,32
2021-07-31,188,36280,153,35,7557,442,55,87,3460,20337,29963,30
2021-08-31,188,36280,153,39,7507,471,54,88,3520,20343,29883,32
2021-09-30,190,36178,157,42,7436,504,53,91,3604,20310,29829,32
2021-10-31,189,36088,161,44,7420,519,56,90,3690,20265,29810,32
2021-11-30,188,36026,158,47,7381,568,52,95,3795,20219,29869,31
2021-12-31,186,35961,159,47,7354,590,52,98,3853,20158,29882,31
2022-01-31,180,35996,158,47,7515,613,52,100,3906,20148,30117,31
2022-02-28,179,"36,023",158,47,7452,623,50,101,3938,20200,30167,31
2022-03-31,179,35974,152,47,7408,671,51,113,4024,20214,30261,32
2022-04-30,177,35964,175,47,7314,694,49,118,4121,20156,30268,32
2022-05-31,176,35906,175,51,7298,739,48,114,4206,20090,30394,33
2022-06-30,174,35813,178,53,7312,785,48,117,4276,20063,30474,34
2022-07-31,172,35635,180,55,7298,811,47,123,4344,20036,30588,33
2022-08-31,173,35374,177,56,7297,857,44,129,4401,19987,30592,34
2022-09-30,173,34988,175,57,7237,929,43,132,4460,19919,30694,33
2022-10-31,170,34843,176,59,7187,967,42,131,4492,19869,30675,33
2022-11-30,170,34742,178,58,7150,1022,40,129,4563,19825,30663,32
2022-12-31,167,34658,175,59,7112,1065,36,129,4657,19765,30680,32
