차종,차명,등록일,연식
소형승용,스파크,2015-07-24,2015
중형승용,아이오닉일렉트릭,2017-05-22,2017
중형승용,아이오닉일렉트릭,2017-05-22,2017
중형승용,쏘울EV,2017-11-27,2017
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-03-09,2018
중형승용,아이오닉일렉트릭,2018-06-22,2018
중형승용,아이오닉일렉트릭,2018-10-10,2018
중형승용,아이오닉일렉트릭,2018-10-10,2018
중형승용,니로EV,2020-06-23,2020
소형특수,이텍진공식소형전기노면청소차,2020-09-16,2020
중형승용,니로EV,2021-01-28,2021
중형승용,볼트EV,2021-06-10,2021
중형승용,니로EV,2021-07-02,2021
중형승용,아이오닉5,2021-07-22,2021
중형승용,아이오닉5,2021-09-28,2021
소형특수,이텍진공식소형전기노면청소차,2021-10-29,2021
소형특수,이텍진공식소형전기노면청소차,2021-10-29,2021
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
